carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
TUI Airways,6672,21,46.00000001,0.006894484413968825,0.0031376064545047063,19.5367206235012
Jet2.com,14062,201,78.91247813,0.005611753529369933,0.014092406927013952,12.110795050490685
Loganair Ltd,21554,973,105.71015868,0.004904433454579197,0.04319261330847428,10.425303887909436
Wizz Air,12080,331,54.34848874,0.004499047081125828,0.02666988961405205,11.901407284768212
British Airways,55086,526,243.35945752,0.004417809561776132,0.009458390275480111,9.43010928366554
easyJet,60050,158,138.36698651,0.00230419627826811,0.0026242359819293117,5.703946711074105
Ryanair,59918,201,133.31440068,0.002224947439500651,0.003343368984846721,8.25226142394606
Aer Lingus,7045,104,6.00000041,0.000851667907735983,0.014547489159322982,1.9223562810503902
Klm,6668,123,1.9696972600000002,0.00029539550989802045,0.018112207333235163,5.759748050389922
