bin,n_cells,weight_sum,mean_pred,mean_actual
0,3245,144917.0,0.0008149113307582666,0.0024070043326179812
1,3243,105201.0,0.0022392256332185966,0.0037805427767796888
2,3243,108787.0,0.0035513647179629014,0.004323130785755651
3,3244,118166.0,0.004919293002734981,0.005117321778768851
4,3244,90114.0,0.006399886525147559,0.005038589258938677
5,3245,82841.0,0.007893372977759088,0.006466062031964849
6,3242,83634.0,0.009643973061577433,0.006364121388789248
7,3243,83593.0,0.01241534775571182,0.008331414340913713
8,3244,70852.0,0.016725184492503452,0.010930345180940554
9,3244,66648.0,0.028165976354668738,0.01665237624264794
